_id,comment_user_id,content,created_at,img_name,img_url,like_num,location,mblog_id,reply_comment_id,root_comment_id
4909930811491537,7752572970,那时候的文科比理科低，现在文科比理科高好多，心疼[泪],2023-06-07,,,0,来自西藏,4907216932964979,,
4909893003513518,3005006285,那时候报纸真敢印，排第一居然不是清北？,2023-06-07,,,0,来自河南,4907216932964979,,
4909874515018269,5785576356,扩招第一届,2023-06-07,,,0,来自辽宁,4907216932964979,,
4909859626287106,1880645371,[doge]9岁,2023-06-07,,,0,来自吉林,4907216932964979,,
4909785108974125,5647506710,虽然不是那一届的，汕头大学的分数好高，大冤种。,2023-06-07,,,0,来自广东,4907216932964979,,
4909784488477639,1824647933,作为江苏考生，那年真魔幻，我数学考砸了，直接不及格，其他也发挥不好，第二场就开始发烧，几乎靠肌肉记忆完成考试，分数勉强过了一本线，然而那年清北竟然在江苏没招满，二线保底学校反而扎堆出高分。唉，不堪回首。,2023-06-07,,,0,来自上海,4907216932964979,,
4909765744656411,1456208277,多点2000年以前的录取信息嘛，挺有意思的,2023-06-06,,,0,来自四川,4907216932964979,,
4909756932163577,3086620034,原来那时候我校比湖南大学文科线高20+分,2023-06-06,,,0,来自辽宁,4907216932964979,,
4909754717834464,3893729619,👍,2023-06-06,,,0,来自江苏,4907216932964979,,
4909743347600633,5789668248,我1998年考的,2023-06-06,,,0,来自内蒙古,4907216932964979,,
4909733331602604,1005579381,理科比文科高[黑线],2023-06-06,,,0,来自上海,4907216932964979,,
4909704235188706,7310274999,清华的分数那么低？哈哈,2023-06-06,,,0,来自四川,4907216932964979,,
4909676028235835,6098821527,山西的大学一个没有[泪],2023-06-06,,,0,来自陕西,4907216932964979,,
4909671880858029,1436337120,我老公那年[挖鼻],2023-06-06,,,0,来自江苏,4907216932964979,,
4909658554500633,5138780186,我就是这一批学生[允悲][允悲][允悲]今年已经毕业20年了,2023-06-06,,,1,来自河北,4907216932964979,,
4909652082688963,7527921284,建筑老八校[吐],2023-06-06,,,0,来自陕西,4907216932964979,,
4909619917358817,7412412404,我96年高考的，录了一个大专。但怎么不记得考多少分了[允悲]你们是怎么记得这么多年的？[笑cry],2023-06-06,,,0,来自江西,4907216932964979,,
4909592770778252,7281693587,曾经我也在我们省的报纸上看到的录取信息，那心情无法形容！,2023-06-06,,,0,来自广东,4907216932964979,,
4909588702824615,1196770033,清北这么低？？,2023-06-06,,,0,来自陕西,4907216932964979,,
4909563084802099,7365020785,哪时候高中玩了三年，考了521分，刚好差几分,2023-06-06,,,0,来自河南,4907216932964979,,
4909556134314627,1495329640,西建大当时和浙大一个分数段，现在差了一百多分。,2023-06-06,,,0,来自陕西,4907216932964979,,
4909535136842697,6210932980,还是能看出点东西的[doge],2023-06-06,,,0,来自江苏,4907216932964979,,
4909415280676510,7238240638,当年很多人不是差在分数上，是差在估分上。,2023-06-05,,,0,来自山西,4907216932964979,,
4909406066836508,6907066051,[失望][失望][失望],2023-06-05,,,0,来自安徽,4907216932964979,,
4909406057141839,3972951199,报东大的分不低呀,2023-06-05,,,0,来自上海,4907216932964979,,
4909405767731057,1667820251,果然是老黄历了,2023-06-05,,,0,来自上海,4907216932964979,,
4909391889044338,6671654427,[失望],2023-06-05,,,0,来自甘肃,4907216932964979,,
4909376936084459,3004605981,中国金融学院现在还有吗？[允悲],2023-06-05,,,0,来自天津,4907216932964979,,
4909373740286663,7543548249,就是我们那年,2023-06-05,,,0,来自北京,4907216932964979,,
4909358661764311,6358847550,复旦哈工大分数偏低[允悲],2023-06-05,,,0,来自安徽,4907216932964979,,
4909357320374186,1173126117,曾几何时 河海还算是凑合能看的学校[允悲],2023-06-05,,,0,来自天津,4907216932964979,,
4909338421106671,5669471101,我2000年上的大学，看到这报纸好亲切[微笑],2023-06-05,,,0,来自江苏,4907216932964979,,
4909331965546475,2076462687,感慨万分,2023-06-05,,,0,来自浙江,4907216932964979,,
4909329100573668,1216673693,我那年还有录取名单登报纸。我跑到我姐姐单位去找报纸，好像是北京日报，因为一般报摊没有这种报纸。我姐单位的顾客还围观我，祝贺我考上大学。,2023-06-05,,,0,来自北京,4907216932964979,,
4909316030600048,7537263563,一本线546号哈哈哈哈哈哈,2023-06-05,,,0,来自江苏,4907216932964979,,
4909295860189325,6002254073,回忆满满，正是我的高考年。[允悲],2023-06-05,,,0,来自江苏,4907216932964979,,
4909276848461128,7294501642,这天我刚出生哎[举手][举手],2023-06-05,,,0,来自浙江,4907216932964979,,
4909274142084004,2171803470,我那年中考[允悲],2023-06-05,,,0,来自四川,4907216932964979,,
4909255532742428,2160393892,真幸福呀，这分数线真低，我高考那年山大在山东的分数线是630多[允悲],2023-06-05,,,0,来自江西,4907216932964979,,
4909247173233477,1764068444,99级的路过,2023-06-05,,,0,来自江苏,4907216932964979,,
4909237216743729,6826522281,我就想问你们公司还招人不？,2023-06-05,,,0,来自广东,4907216932964979,,
4909231741864789,1452319013,那会毛都不懂，报了个同济，差了几十。只好回去复了一年,2023-06-05,,,0,来自江苏,4907216932964979,,
4909209973425541,7227826785,徐医当年赢麻了[泪],2023-06-05,,,0,来自江苏,4907216932964979,,
4909201170631181,5942963198,[微笑][汗][汗],2023-06-05,,,0,来自广西,4907216932964979,,
4909184716116683,6929915327,唉，时代在进步，分数在暴涨[泪],2023-06-05,,,0,来自山东,4907216932964979,,
4909184481757561,6593991938,.,2023-06-05,,,0,来自宁夏,4907216932964979,,
4909179699987585,7390253747,为什么以前是理科分数线高，现在文科分数线高。是时代不一样了？,2023-06-05,,,0,来自江苏,4907216932964979,,
4909175236987630,5342538045,这一年我刚出生[可爱][可爱],2023-06-05,,,0,来自重庆,4907216932964979,,
4909171303254886,3966707475,现在都是文科分数线比理科高,2023-06-05,,,0,来自云南,4907216932964979,,
4909170173674537,3179841821,99年，我还上小学了,2023-06-05,,,0,来自河南,4907216932964979,,
4909166428686415,7823741970,这年我刚刚上大二[允悲],2023-06-05,,,0,来自上海,4907216932964979,,
4909154706129294,6026680725,6,2023-06-05,,,0,来自广东,4907216932964979,,
4909114994459020,2560245234,居然有汕头大学，这大学历史悠久啊[嘻嘻],2023-06-05,,,0,来自广东,4907216932964979,,
4909044302879880,5311308634,，,2023-06-04,,,0,来自辽宁,4907216932964979,,
4909037294194220,5148598174,这分现在在河北连专科都考不上[doge],2023-06-04,,,0,来自广东,4907216932964979,,
4909024811944969,1281597455,扩招的第一年……,2023-06-04,,,0,来自北京,4907216932964979,,
4909021209299007,2587997727,02级的路过，当年526也没上到好大学,2023-06-04,,,0,来自江苏,4907216932964979,,
4909009369040644,6987095948,青岛海洋大学到底是啥,2023-06-04,,,0,来自江苏,4907216932964979,,
4908998987612692,1560053041,546估计是重点大学的起点线。哈工大分数真低[允悲],2023-06-04,,,0,来自安徽,4907216932964979,,
4908998367906097,6165371756,学校现在叫，江苏大学,2023-06-04,,,0,来自江苏,4907216932964979,,
4908992931564514,6911317708,那时候考上大学的真的都是佼佼者呀,2023-06-04,,,0,来自广西,4907216932964979,,
4908986346505382,1403037335,清华那年那么低？,2023-06-04,,,0,来自上海,4907216932964979,,
4908985155329181,1403037335,那年江苏本科分数线多少？,2023-06-04,,,0,来自上海,4907216932964979,,
4908981501300239,7818939949,曾几何时，北大也是压着清华的,2023-06-04,,,0,来自广东,4907216932964979,,
4908972652107736,2739787011,[羞嗒嗒][思考],2023-06-04,,,0,来自江苏,4907216932964979,,
4908958777608520,3209018045,10年上大学南航也排第三，现在已经不知道去哪了……[怒],2023-06-04,,,0,来自江苏,4907216932964979,,
4908951952691786,2513379317,那时候分数低,2023-06-04,,,0,来自安徽,4907216932964979,,
4908946692769181,1930108011,不要惊讶，那时候题是很难的，考600 都很难的,2023-06-04,,,0,来自天津,4907216932964979,,
4908939470965171,2101933223,查查八十年代的成绩，吓死人，百里挑一,2023-06-04,,,0,来自陕西,4907216932964979,,
4908939408051726,2471051621,山东，我92年高考539分上了专科,2023-06-04,,,0,来自山东,4907216932964979,,
4908932643164253,1761128757,我们华科前身这么拽的吗？,2023-06-04,,,0,来自福建,4907216932964979,,
4908929367148539,6488493144,看到了石家庄铁道学院[开学季],2023-06-04,,,0,来自河北,4907216932964979,,
4908929161889357,6149340548,我598,2023-06-04,,,0,来自北京,4907216932964979,,
4908928145819019,1321654842,[good],2023-06-04,,,0,来自陕西,4907216932964979,,
4908925575499183,3209791713,500多，那会的总分多少？,2023-06-04,,,0,来自北京,4907216932964979,,
4908915500778640,5890530418,yzu祖上荣光,2023-06-04,,,0,来自江苏,4907216932964979,,
4908900455287447,1287600711,当年北体这么支棱吗[傻眼][吃惊],2023-06-04,,,0,来自湖北,4907216932964979,,
4908893001482429,5983759557,那个时候居然是立刻投档线高过文科，后面都是文科投档线比理科高[允悲][允悲][允悲][允悲],2023-06-04,,,0,来自江苏,4907216932964979,,
4908883095847004,6017670201,[doge],2023-06-04,,,0,来自浙江,4907216932964979,,
4908877143608706,2327527333,99 年是大学扩招的最后一年。,2023-06-04,,,0,来自湖北,4907216932964979,,
4908865693683023,1475950284,640分的我,2023-06-04,,,0,来自浙江,4907216932964979,,
4908860077507052,1798562347,00年的浙江，也是我的痛,2023-06-04,,,0,来自浙江,4907216932964979,,
4908849020799014,2852849032,河南高考真难啊，看看这分数线[doge],2023-06-04,,,0,来自陕西,4907216932964979,,
4908841266054010,1776735063,加油,2023-06-04,,,0,来自河南,4907216932964979,,
4908840947026027,2216919497,[微风],2023-06-04,,,0,来自北京,4907216932964979,,
4908829555559335,1527782815,心好痛，十多年前就差二百多分就能上个好大学了,2023-06-04,,,0,来自北京,4907216932964979,,
4908825784616764,1973354893,99年考五百多分多难啊,2023-06-04,,,0,来自天津,4907216932964979,,
4908823611182047,5646876227,666,2023-06-04,,,0,来自河北,4907216932964979,,
4908822060074434,2613455155,那时候我交录取还在北京第一梯队吧,2023-06-04,,,0,来自北京,4907216932964979,,
4908820700335093,6606324301,我还没出生[泪],2023-06-04,,,0,来自内蒙古,4907216932964979,,
4908819031000680,3170595733,[可爱],2023-06-04,,,0,来自广东,4907216932964979,,
4908817626693933,7835354210,华五啥也不是,2023-06-04,,,0,来自内蒙古,4907216932964979,,
4908810580526536,6614812849,可悲啊！竟然没有河南。。。。。,2023-06-04,,,0,来自河南,4907216932964979,,
4908805459017773,6673768620,大河南没有一所高校…,2023-06-04,,,0,来自福建,4907216932964979,,
4908798769366545,1100019581,也是我那年的,2023-06-04,,,0,来自江苏,4907216932964979,,
4908794788184519,3987641278,那年数学考的“减薄率”，当时数学考了89分，复读一年，数学考了81分唉😔,2023-06-04,,,1,来自广东,4907216932964979,,
4908757203550252,7348614682,那个时候江财和ncu分这么高吗[允悲],2023-06-04,,,0,来自江西,4907216932964979,,
4908721383932761,1411317095,有没有2000年的？,2023-06-04,,,0,来自江苏,4907216932964979,,
4908721098195962,5643557709,上医是所有学校里最高的[笑cry],2023-06-04,,,0,来自上海,4907216932964979,,
4908705327613235,7790109483,哎，那年学费还TM翻番了呢，麻蛋的,2023-06-04,,,0,来自辽宁,4907216932964979,,
4908683924079722,1577371391,所以那个时候很多高分考生去了普通大学，这也是一些普通大学也出了不少牛人的原因！现在很少出现这种情况了！,2023-06-03,,,0,来自湖北,4907216932964979,,
4908680259306085,3307698687,怎么清华北大的提档线这么低 比一些其他985都低。,2023-06-03,,,0,来自北京,4907216932964979,,
4908677910233869,1403786391,99年考的石油大学（北京）[泪],2023-06-03,,,0,来自北京,4907216932964979,,
4908670557884412,2547923583,高招回到以前才对。那才是含金量杠杠的。没现在这么多“高不成低不就”，学历高消费的。,2023-06-03,,,0,来自浙江,4907216932964979,,
4908661476950977,1000609150,97年的哪里有？[可爱],2023-06-03,,,0,来自浙江,4907216932964979,,
4908659086465450,6655770017,沈阳药科，沈阳农业，辽宁工程技术[doge],2023-06-03,,,0,来自辽宁,4907216932964979,,
4908658683028366,1000609150,那一年，我大三[允悲]，唏嘘,2023-06-03,,,0,来自浙江,4907216932964979,,
4908654732773844,5523507803,我才刚出生，这时候才一岁半,2023-06-03,,,0,来自湖北,4907216932964979,,
4908653783816292,2069944877,现在基本涨了100分,2023-06-03,,,0,来自天津,4907216932964979,,
4908644791485824,5698656387,看看当年川大比重大差远了[二哈][二哈][二哈],2023-06-03,,,0,来自重庆,4907216932964979,,
4908642953860174,7730139231,那时候的大学生个个都是栋梁吧,2023-06-03,,,0,来自湖北,4907216932964979,,
4908642798672146,6584158831,理科580 西北工业大学[允悲],2023-06-03,,,0,来自安徽,4907216932964979,,
4908632489590788,1766725654,那时候的上海高校是真的强，如今算是没落了吧,2023-06-03,,,0,来自上海,4907216932964979,,
4908622456554098,6672300738,唐山交大理科分这么高[笑cry],2023-06-03,,,0,来自河北,4907216932964979,,
4908622364280516,7734535951,我就是那一届的，原来你还很年轻啊,2023-06-03,,,0,来自山东,4907216932964979,,
4908611064829599,2344108593,我们东南曾经这么辉煌啊[笑cry],2023-06-03,,,0,来自江苏,4907216932964979,,
4908610666891414,5339762799,我儿子的学校那时候比川大才低几分，现在，大几十分了[允悲],2023-06-03,,,0,来自四川,4907216932964979,,
